RefDes;Value
C1, C4, C5, C6, C7, C9, C10, C20, C21, C22, C27, C32, C37, C42, C44;100n
C2, C3, C11, C12, C13;10u
C8, C26, C31, C36, C41, C43;1u
C14;10n
C15;220n
C16;4u7
C17, C23, C25, C28, C30, C33, C35, C38, C40;47p
C18;3n3
C19;1n
C24, C29, C34, C39;470p
CRs1;0.1uF
Cubes;53048-0910
D1, D2;BAV199
D3;BZT52C6V8
D4;S2G
D5;BAT54
D6;ZHCS506
D7, D8, D9;Diod 
D10;diod
D11;Schottkydiod
Diff1.1Si, Diff1.2Si, Diff2.1SiC, Diff2.2SiC;AD8226ARZ
FB1;220
L1;220u
LEGS;53048-0710
Op1, Op2, OP_SiC_Vbe;LT1638HS8
Q1, Q4, Q5;SI2369DS-T1-GE3
Q2;BC847A
Q3;BC857B
Q6, Q7;FDC637AN
R1, R10, R11, R12, R13, R16, R18, R38, R48;100k
R2;1k
R3;0
R4;750k
R5, R14, R15, R17, R21, R24, R31, R34, R35, R42, R45, R46, R47, R49, R53;10k
R6, R37;47k
R7;0R51
R8, R23;8k87
R9;33R
R19;10R
R20;562k
R22;69k8
R25, R27, R36;22k
R26;15k
R28;510R
R29, R30, R32, R33, R40, R41, R43, R44;4k02
R39;300R
R51, R52;10
Seud;53048-0510
SiBJT;MMBT2369ALT1G
SiCBJT;KTH
SN65HVD82;SN65HVD82D
SWD;SKEDD_KONTAKT_1,4
U1;STM32L053C6
U5;LT8570-1
U9;CDSOT23-SM712
U25-3,3conv;LT1129CST-3.3
U3_regul10v;LT3062
U4_batt10v;LT1783CS5
U6Tsic, U7Tsi;LMT85DCKT
U8_i2c,buff;TCA4311ADR
