RefDes;Value;Name
C1;100n;CAP_0603
C2;10u;CAP_1206
C3;10u;CAP_1206
C4;100n;CAP_0603
C5;100n;CAP_0603
C6;100n;CAP_0603
C7;100n;CAP_0603
C8;1u;CAP_0603
C9;100n;CAP_0603
C10;100n;CAP_0603
C11;10u;CAP_1206
C12;10u;CAP_1206
C13;10u;CAP_1206
C14;10n;CAP_0603
C15;220n;CAP_0805
C16;4u7;CAP_1206
C17;47p;CAP_0603
C18;3n3;CAP_0603
C19;1n;CAP_0603
C20;100n;CAP_0603
C21;100n;CAP_0603
C22;100n;CAP_0603
C23;47p;CAP_0603
C24;470p;CAP_0603
C25;47p;CAP_0603
C26;1u;CAP_0603
C27;100n;CAP_0603
C28;47p;CAP_0603
C29;470p;CAP_0603
C30;47p;CAP_0603
C31;1u;CAP_0603
C32;100n;CAP_0603
C33;47p;CAP_0603
C34;470p;CAP_0603
C35;47p;CAP_0603
C36;1u;CAP_0603
C37;100n;CAP_0603
C38;47p;CAP_0603
C39;470p;CAP_0603
C40;47p;CAP_0603
C41;1u;CAP_0603
C42;100n;CAP_0603
C43;1u;CAP_0603
C44;100n;CAP_0603
CRs1;0.1uF;CAP_0603
Cubes;;53048-0910
D1;;BAV199
D2;;BAV199
D3;;BZT52C6V8
D4;;S2G
D5;;BAT54
D6;;ZHCS506
D7;;Diod 
D8;;Diod 
D9;;Diod 
D10;;diod
D11;Schottkydiod;Diod BAS70
Diff1.1Si;;AD8226ARZ
Diff1.2Si;;AD8226ARZ
Diff2.1SiC;;AD8226ARZ
Diff2.2SiC;;AD8226ARZ
FB1;220;FB_0805
L1;220u;LPS6235
LEGS;;53048-0710
Op1;;LT1638HS8
Op2;;LT1638HS8
OP_SiC_Vbe;;LT1638HS8
Q1;;SI2369DS-T1-GE3
Q2;;BC847A
Q3;;BC857B
Q4;;SI2369DS-T1-GE3
Q5;;SI2369DS-T1-GE3
Q6;;FDC637AN
Q7;;FDC637AN
R1;100k;RES_0603
R2;1k;RES_0603
R3;0;RES_0603
R4;750k;RES_0603
R5;10k;RES_0603
R6;47k;RES_0603
R7;0R51;RES_2010
R8;8k87;RES_0603
R9;33R;RES_0603
R10;100k;RES_0603
R11;100k;RES_0603
R12;100k;RES_0603
R13;100k;RES_0603
R14;10k;RES_0603
R15;10k;RES_0603
R16;100k;RES_0603
R17;10k;RES_0603
R18;100k;RES_0603
R19;10R;RES_0603
R20;562k;RES_0603
R21;10k;RES_0603
R22;69k8;RES_0603
R23;8k87;RES_0603
R24;10k;RES_0603
R25;22k;RES_0603
R26;15k;RES_0603
R27;22k;RES_0603
R28;510R;RES_0603
R29;4k02;RES_0603
R30;4k02;RES_0603
R31;10k;RES_0603
R32;4k02;RES_0603
R33;4k02;RES_0603
R34;10k;RES_0603
R35;10k;RES_0603
R36;22k;RES_0603
R37;47k;RES_0603
R38;100k;RES_0603
R39;300R;RES_0603
R40;4k02;RES_0603
R41;4k02;RES_0603
R42;10k;RES_0603
R43;4k02;RES_0603
R44;4k02;RES_0603
R45;10k;RES_0603
R46;10k;RES_0603
R47;10k;RES_0603
R48;100k;RES_0603
R49;10k;RES_0603
R51;10;RES_0603
R52;10;RES_0603
R53;10k;RES_0603
Seud;;53048-0510
SiBJT;;MMBT2369ALT1G
SiCBJT;;SiC-transistor
SN65HVD82;;SN65HVD82D
SWD;;SKEDD_KONTAKT_1,4
U1;;STM32L053C6
U5;;LT8570-1
U9;;CDSOT23-SM712
U25-3,3conv;;LT1129CST-3.3
U3_regul10v;;LT3062
U4_batt10v;;LT1783CS5
U6Tsic;;LMT85DCKT
U7Tsi;;LMT85DCKT
U8_i2c,buff;;TCA4311ADR
